address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
1030 TROY AVE,INDIANAPOLIS,IN,46203,39.722848,-86.14149,0.9,range_interpolation,1030,E Troy Ave,Indianapolis,IN,Marion County,46203,US
2002 WELLESLEY BLVD,INDIANAPOLIS,IN,46219,39.790417,-86.03037,0.8,street_center,,Wellesley Ct,Indianapolis,IN,Marion County,46219,US
2960 KENWOOD AVE,INDIANAPOLIS,IN,46208,39.809451,-86.160338,1,range_interpolation,2960,S Kenwood Ave,Indianapolis,IN,Marion County,46208,US
3338 ILLINOIS ST,INDIANAPOLIS,IN,46208,39.816222,-86.159273,1,range_interpolation,3338,S Illinois St,Indianapolis,IN,Marion County,46208,US
3450 ILLINOIS ST,INDIANAPOLIS,IN,46208,39.818389,-86.159294,1,range_interpolation,3450,S Illinois St,Indianapolis,IN,Marion County,46208,US
3610 MERIDIAN ST,INDIANAPOLIS,IN,46208,39.821307,-86.15697,1,range_interpolation,3610,Meridian Ln,Indianapolis,IN,Marion County,46208,US
6429 KEYSTONE AVE,INDIANAPOLIS,IN,46220,39.874453,-86.121996,0.9,range_interpolation,6429,N Keystone Ave,Indianapolis,IN,Marion County,46220,US
6231 KEYSTONE AVE,INDIANAPOLIS,IN,46220,39.868938,-86.122082,0.9,range_interpolation,6231,N Keystone Ave,Indianapolis,IN,Marion County,46220,US
2710 62ND ST,INDIANAPOLIS,IN,46220,39.868847,-86.118873,1,range_interpolation,2710,E 62nd St,Indianapolis,IN,Marion County,46220,US
6191 KEYSTONE AVE,INDIANAPOLIS,IN,46220,39.868503,-86.122085,0.9,range_interpolation,6191,N Keystone Ave,Indianapolis,IN,Marion County,46220,US
2025 ENGLISH AVE,INDIANAPOLIS,IN,46201,39.75958,-86.127295,1,range_interpolation,2025,English Ave,Indianapolis,IN,Marion County,46201,US
4111 82ND ST,INDIANAPOLIS,IN,46250,39.907447,-86.097449,1,range_interpolation,4111,W 82nd St,Indianapolis,IN,Marion County,46250,US
6420 GUION RD,INDIANAPOLIS,IN,46268,39.872806,-86.231623,0.9,range_interpolation,6420,Guion Rd,Indianapolis,IN,Marion County,46268,US
